Symbol,Name,ISIN,Exchange
500059.BO,Bil Vyapar Ltd,INE071A01013,BSE
500060.BO,Birla Cable Ltd,INE800A01015,BSE
500174.BO,Gujarat Lease Financing Ltd,INE540A01017,BSE
500234.BO,Kakatiya Cement Sugar & Industries Ltd,INE437B01014,BSE
500279.BO,Mirc Electronics Ltd,INE831A01028,BSE
500285.BO,Spicejet Ltd,INE285B01017,BSE
500296.BO,Nahar Spinning Mills Ltd,INE290A01027,BSE
500313.BO,Oil Country Tubular Ltd,INE591A01010,BSE
500317.BO,Oswal Agro Mills Ltd,INE142A01012,BSE
500327.BO,Pil Italica Lifestyle Ltd,INE600A01035,BSE
500346.BO,Punjab Communications Ltd,INE609A01010,BSE
500390.BO,Reliance Infrastructure Ltd,INE036A01016,BSE
500418.BO,Tokyo Plast International Ltd,INE932C01012,BSE
500449.BO,Hindustan Organic Chemicals Ltd,INE048A01011,BSE
500540.BO,Premier Ltd,INE342A01018,BSE
501343.BO,Motor & General Finance Ltd,INE861B01023,BSE
502448.BO,Rollatainers Ltd,INE927A01040,BSE
502937.BO,Kesoram Industries Ltd,INE087A01019,BSE
503031.BO,Peninsula Land Ltd,INE138A01028,BSE
504092.BO,Indokem Ltd,INE716F01012,BSE
504351.BO,Empower India Ltd,INE507F01023,BSE
505036.BO,Automobile Corporation of Goa Ltd,INE451C01013,BSE
505075.BO,Setco Automotive Ltd,INE878E01021,BSE
505368.BO,Semac Construction Ltd,INE617A01013,BSE
505590.BO,SVP Global Textiles Ltd,INE308E01029,BSE
506261.BO,Modison Ltd,INE737D01021,BSE
506525.BO,Kanoria Chemicals & Industries Ltd,INE138C01024,BSE
506597.BO,Amal Ltd,INE841D01013,BSE
506642.BO,Sadhana Nitro Chem Ltd,INE888C01040,BSE
506854.BO,TANFAC Industries Ltd,INE639B01023,BSE
507438.BO,IFB Agro Industries Ltd,INE076C01018,BSE
507753.BO,TGV Sraac Ltd,INE284B01028,BSE
507794.BO,Khaitan Chemicals & Fertilizers Ltd,INE745B01028,BSE
507912.BO,Gyftr Ltd,INE724A01017,BSE
508807.BO,I S T Ltd,INE684B01029,BSE
509009.BO,AuSom Enterprise Ltd,INE218C01016,BSE
509438.BO,Benares Hotels Ltd,INE664D01019,BSE
511505.BO,Capital Trust Ltd,INE707C01018,BSE
511611.BO,DCM Financial Services Ltd,INE891B01012,BSE
511714.BO,Nimbus Projects Ltd,INE875B01015,BSE
512165.BO,Abans Enterprises Ltd,INE365O01028,BSE
512267.BO,Media Matrix Worldwide Ltd,INE200D01020,BSE
512296.BO,Bhagyanagar India Ltd,INE458B01036,BSE
512608.BO,Bhandari Hosiery Exports Ltd,INE474E01029,BSE
513337.BO,Gujarat Toolroom Ltd,INE145J01032,BSE
513554.BO,Mahamaya Steel Industries Ltd,INE451L01014,BSE
514036.BO,Loyal Textile Mills Ltd,INE970D01010,BSE
514175.BO,Vardhman Polytex Ltd,INE835A01029,BSE
514354.BO,Premier Polyfilm Ltd,INE309M01020,BSE
514418.BO,Mangalam Organics Ltd,INE370D01013,BSE
514440.BO,Blue Pearl Agriventures Ltd,INE439N01031,BSE
514448.BO,Jyoti Resins & Adhesives Ltd,INE577D01013,BSE
514470.BO,Winsome Textile Industries Ltd,INE837B01031,BSE
515043.BO,Saint Gobain Sekurit India Ltd,INE068B01017,BSE
517035.BO,RIR Power Electronics Ltd,INE302D01024,BSE
517214.BO,Digispice Technologies Ltd,INE927C01020,BSE
517273.BO,S&S Power Switchgear Ltd,INE902B01017,BSE
517411.BO,Shyam Telecom Ltd,INE635A01023,BSE
517447.BO,R.S. Software (India) Ltd,INE165B01029,BSE
519003.BO,Modi Naturals Ltd,INE537F01012,BSE
519383.BO,Anik Industries Ltd,INE087B01017,BSE
519477.BO,CIAN Agro Industries & Infrastructure Ltd,INE052V01019,BSE
520021.BO,Omax Autos Ltd,INE090B01011,BSE
520086.BO,Sical Logistics Ltd,INE075B01020,BSE
521018.BO,Maral Overseas Ltd,INE882A01013,BSE
521082.BO,CLC Industries Ltd,INE376C01038,BSE
521238.BO,Bharat Global Developers Ltd,INE893C01032,BSE
522073.BO,The Hi-Tech Gears Ltd,INE127B01011,BSE
523105.BO,Cropster Agro Ltd,INE293E01031,BSE
523260.BO,PEARL Polymers Ltd,INE844A01013,BSE
523371.BO,Mawana Sugars Ltd,INE636A01039,BSE
523465.BO,Ind Bank Housing Ltd,INE969D01012,BSE
523475.BO,Lotus Chocolate Company Ltd,INE026D01011,BSE
523796.BO,Viceroy Hotels Ltd,INE048C01025,BSE
524280.BO,Kopran Ltd,INE082A01010,BSE
524324.BO,Seya Industries Ltd,INE573R01012,BSE
524370.BO,Bodal Chemicals Ltd,INE338D01028,BSE
524412.BO,Aarey Drugs & Pharmaceuticals Ltd,INE198H01019,BSE
524520.BO,KMC Speciality Hospitals (India) Ltd,INE879K01018,BSE
524632.BO,Shukra Pharmaceuticals Ltd,INE551C01044,BSE
