Symbol,Name,ISIN,Exchange
20MICRONS.NS,20 Microns Limited,INE144J01027,NSE
21STCENMGM.NS,21st Century Management Services Limited,INE253B01015,NSE
360ONE.NS,360 ONE WAM LIMITED,INE466L01038,NSE
3BBLACKBIO.NS,3B Blackbio Dx Limited,INE994E01018,NSE
3IINFOLTD.NS,3i Infotech Limited,INE748C01038,NSE
3MINDIA.NS,3M India Limited,INE470A01017,NSE
3PLAND.NS,3P Land Holdings Limited,INE105C01023,NSE
5PAISA.NS,5Paisa Capital Limited,INE618L01018,NSE
63MOONS.NS,63 moons technologies limited,INE111B01023,NSE
AAATECH.NS,AAA Technologies Limited,INE0D0U01013,NSE
AADHARHFC.NS,Aadhar Housing Finance Limited,INE883F01010,NSE
AARNAV.NS,Aarnav Fashions Limited,INE750R01016,NSE
AARON.NS,Aaron Industries Limited,INE721Z01010,NSE
AARTECH.NS,Aartech Solonics Limited,INE01C001026,NSE
AARTIDRUGS.NS,Aarti Drugs Limited,INE767A01016,NSE
AARTIIND.NS,Aarti Industries Limited,INE769A01020,NSE
AARTIPHARM.NS,Aarti Pharmalabs Limited,INE0LRU01027,NSE
AARTISURF.NS,Aarti Surfactants Limited,INE09EO01013,NSE
AARVI.NS,Aarvi Encon Limited,INE754X01016,NSE
AAVAS.NS,Aavas Financiers Limited,INE216P01012,NSE
ABB.NS,ABB India Limited,INE117A01022,NSE
ABBOTINDIA.NS,Abbott India Limited,INE358A01014,NSE
ABCAPITAL.NS,Aditya Birla Capital Limited,INE674K01013,NSE
ABCOTS.NS,A B Cotspin India Limited,INE08PH01015,NSE
ABDL.NS,Allied Blenders and Distillers Limited,INE552Z01027,NSE
ABFRL.NS,Aditya Birla Fashion and Retail Limited,INE647O01011,NSE
ABINFRA.NS,A B Infrabuild Limited,INE00YB01025,NSE
ABLBL.NS,Aditya Birla Lifestyle Brands Limited,INE14LE01019,NSE
ABMKNO.NS,ABM Knowledgeware Limited,INE850B01026,NSE
ABREL.NS,Aditya Birla Real Estate Limited,INE055A01016,NSE
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,INE404A01024,NSE
ACC.NS,ACC Limited,INE012A01025,NSE
ACCELYA.NS,Accelya Solutions India Limited,INE793A01012,NSE
ACE.NS,Action Construction Equipment Limited,INE731H01025,NSE
ACEINTEG.NS,Ace Integrated Solutions Limited,INE543V01017,NSE
ACI.NS,Archean Chemical Industries Limited,INE128X01021,NSE
ACL.NS,Andhra Cements Limited,INE666E01020,NSE
ACMESOLAR.NS,Acme Solar Holdings Limited,INE622W01025,NSE
ACSTECH.NS,ACS Technologies Limited,INE366C01021,NSE
ACUTAAS.NS,Acutaas Chemicals Limited,INE00FF01025,NSE
ADANIENSOL.NS,Adani Energy Solutions Limited,INE931S01010,NSE
ADANIENT.NS,Adani Enterprises Limited,INE423A01024,NSE
ADANIGREEN.NS,Adani Green Energy Limited,INE364U01010,NSE
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,INE742F01042,NSE
ADANIPOWER.NS,Adani Power Limited,INE814H01029,NSE
ADFFOODS.NS,ADF Foods Limited,INE982B01027,NSE
ADL.NS,Archidply Decor Limited,INE0CHO01012,NSE
ADOR.NS,Ador Welding Limited,INE045A01017,NSE
ADROITINFO.NS,Adroit Infotech Limited,INE737B01033,NSE
ADSL.NS,Allied Digital Services Limited,INE102I01027,NSE
ADVAIT.NS,Advait Energy Transitions Limited,INE0ALI01010,NSE
ADVANCE.NS,Advance Agrolife Limited,INE1B0W01010,NSE
ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited,INE199C01026,NSE
ADVENTHTL.NS,Advent Hotels International Limited,INE28GN01010,NSE
ADVENZYMES.NS,Advanced Enzyme Technologies Limited,INE837H01020,NSE
AEGISLOG.NS,Aegis Logistics Limited,INE208C01025,NSE
AEGISVOPAK.NS,Aegis Vopak Terminals Limited,INE0INX01018,NSE
AEQUS.NS,Aequs Limited,INE947N01017,NSE
AEROENTER.NS,Aeroflex Enterprises Limited,INE065D01027,NSE
AEROFLEX.NS,Aeroflex Industries Limited,INE024001021,NSE
AERONEU.NS,Aeroflex Neu Limited,INE035801013,NSE
AETHER.NS,Aether Industries Limited,INE0BWX01014,NSE
AFCONS.NS,Afcons Infrastructure Limited,INE101I01011,NSE
AFFLE.NS,Affle 3i Limited,INE00WC01027,NSE
AFSL.NS,Abans Financial Services Limited,INE00ZE01026,NSE
AGARIND.NS,Agarwal Industrial Corporation Limited,INE204E01012,NSE
AGARWALEYE.NS,Dr. Agarwal's Health Care Limited,INE943P01029,NSE
AGI.NS,AGI Greenpac Limited,INE415A01038,NSE
AGIIL.NS,Agi Infra Limited,INE976R01033,NSE
AGRITECH.NS,Agri-Tech (India) Limited,INE449G01018,NSE
AGROPHOS.NS,Agro Phos India Limited,INE740V01019,NSE
AHCL.NS,Anlon Healthcare Limited,INE0Y8W01025,NSE
AHLADA.NS,Ahlada Engineers Limited,INE00PV01013,NSE
AHLEAST.NS,Asian Hotels (East) Limited,INE926K01017,NSE
AHLUCONT.NS,Ahluwalia Contracts (India) Limited,INE758C01029,NSE
AIAENG.NS,AIA Engineering Limited,INE212H01026,NSE
AIIL.NS,Authum Investment & Infrastructure Limited,INE206F01022,NSE
AIRAN.NS,Airan Limited,INE645W01026,NSE
AIROLAM.NS,Airo Lam limited,INE801L01010,NSE
AJANTPHARM.NS,Ajanta Pharma Limited,INE031B01049,NSE
AJAXENGG.NS,Ajax Engineering Limited,INE274Y01021,NSE
AJMERA.NS,Ajmera Realty & Infra India Limited,INE298G01035,NSE
AJOONI.NS,Ajooni Biotech Limited,INE820Y01021,NSE
AKASH.NS,Akash Infra-Projects Limited,INE737W01013,NSE
AKCAPIT.NS,AK Capital Services Limited,INE701G01012,NSE
AKG.NS,Akg Exim Limited,INE00Y801016,NSE
AKI.NS,AKI India Limited,INE642Z01026,NSE
AKSHAR.NS,Akshar Spintex Limited,INE256Z01025,NSE
AKSHARCHEM.NS,AksharChem India Limited,INE542B01011,NSE
AKUMS.NS,Akums Drugs and Pharmaceuticals Limited,INE09XN01023,NSE
ALANKIT.NS,Alankit Limited,INE914E01040,NSE
