Ticker,Company,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Shares,Capital_Deployed,PnL,PnL_Pct,Holding_Days,Exit_Reason,Status,Result,Partial_Booked,Partial_Price,Partial_Pct,IPO_Day_Value_Cr,Liquidity_Status,Promoter_Backed,Entry_Stage,Setup_Type
ENRIN.NS,ENRIN.NS,2025-09-23,3560.25,2025-10-01,3424.47,14.044,50000.0,-1906.9,-3.81,5,SMA10 Trail,Closed,Loss,False,,,1114.19,Liquid,Unknown,Stage 1 — Building Base,STANDARD
TRAVELFOOD.NS,TRAVELFOOD.NS,2025-09-23,1359.3,2025-10-10,1359.0,36.7836,50000.0,-11.04,-0.02,11,SMA10 Trail,Closed,Loss,False,,,531.25,Liquid,Unknown,Stage 1 — Building Base,EARLY BOOM
SMARTWORKS.NS,SMARTWORKS.NS,2025-09-24,560.85,2025-10-14,564.45,89.1504,50000.0,320.94,0.64,12,SMA10 Trail,Closed,Win,False,,,780.64,Liquid,Unknown,Stage 1 — Building Base,STANDARD
MBEL.NS,MBEL.NS,2025-11-10,508.5,2025-11-12,439.5,98.3284,50000.0,-6784.66,-13.57,1,Hard Stop,Closed,Loss,False,,,627.73,Liquid,Unknown,Stage 3 — Breakout,STANDARD
CPPLUS.NS,CPPLUS.NS,2025-11-10,1589.9,2025-11-25,1607.5,31.4485,50000.0,553.49,1.11,10,SMA10 Trail,Closed,Win,False,,,2130.94,Liquid,Unknown,Stage 3 — Breakout,STANDARD
BORANA.NS,BORANA.NS,2025-11-12,259.41,2025-11-28,283.49,192.7451,50000.0,4641.3,12.55,11,SMA10 Trail,Closed,Win,True,308.95,19.1,51.15,Liquid,Unknown,Stage 3 — Breakout,FLAG
SHREEJISPG.NS,SHREEJISPG.NS,2025-11-13,294.36,2025-11-24,295.41,169.8588,50000.0,177.91,0.36,6,SMA10 Trail,Closed,Win,False,,,361.28,Liquid,Unknown,Stage 3 — Breakout,STANDARD
GCSL.NS,GCSL.NS,2025-11-14,350.51,2025-11-27,364.0,142.6493,50000.0,1924.34,3.85,8,SMA10 Trail,Closed,Win,False,,,14.22,Liquid,Unknown,Stage 3 — Breakout,STANDARD
TRAVELFOOD.NS,TRAVELFOOD.NS,2025-11-28,1351.1,2025-12-03,1335.0,37.0069,50000.0,-595.81,-1.19,2,SMA10 Trail,Closed,Loss,False,,,531.25,Liquid,Unknown,Stage 1 — Building Base,EARLY BOOM
TATACAP.NS,TATACAP.NS,2025-12-24,345.95,2026-01-13,352.1,144.5296,50000.0,888.86,1.78,12,SMA10 Trail,Closed,Win,False,,,3887.07,Liquid,Unknown,Stage 3 — Breakout,EARLY BOOM
CANHLIFE.NS,CANHLIFE.NS,2025-12-24,140.19,2026-01-09,149.0,356.6588,50000.0,3142.16,6.28,10,SMA10 Trail,Closed,Win,False,,,703.76,Liquid,Unknown,Stage 3 — Breakout,EARLY BOOM
SHREEJISPG.NS,SHREEJISPG.NS,2025-12-26,353.51,2026-01-13,365.08,141.4372,50000.0,1636.57,3.27,11,SMA10 Trail,Closed,Win,False,,,361.28,Liquid,Unknown,Stage 3 — Breakout,U-TURN
MIDWESTLTD.NS,MIDWESTLTD.NS,2025-12-30,1800.0,2026-01-09,1705.0,27.7778,50000.0,-2638.89,-5.28,7,SMA10 Trail,Closed,Loss,False,,,539.24,Liquid,Unknown,Stage 3 — Breakout,STANDARD
GCSL.NS,GCSL.NS,2025-12-31,337.5,2026-01-02,340.0,148.1481,50000.0,370.37,0.74,1,SMA10 Trail,Closed,Win,False,,,14.22,Liquid,Unknown,Stage 1 — Building Base,U-TURN
AHCL.NS,AHCL.NS,2026-01-01,15.18,2026-01-09,14.22,3293.8076,50000.0,-3178.52,-6.36,5,SMA10 Trail,Closed,Loss,False,,,58.98,Liquid,Unknown,Stage 1 — Building Base,EARLY BOOM
BORANA.NS,BORANA.NS,2026-01-01,293.0,2026-01-12,283.0,170.6485,50000.0,-1706.48,-3.41,6,SMA10 Trail,Closed,Loss,False,,,51.15,Liquid,Unknown,Stage 1 — Building Base,FLAG
SHRINGARMS.NS,SHRINGARMS.NS,2026-01-02,238.6,2026-01-12,230.79,209.5557,50000.0,-1636.63,-3.27,5,SMA10 Trail,Closed,Loss,False,,,430.45,Liquid,Unknown,Stage 1 — Building Base,EARLY BOOM
CPPLUS.NS,CPPLUS.NS,2026-02-04,1482.1,2026-02-20,1554.0,33.7359,50000.0,2425.61,4.85,11,SMA10 Trail,Closed,Win,False,,,2130.94,Liquid,Unknown,Stage 1 — Building Base,EARLY BOOM
BORANA.NS,BORANA.NS,2026-02-04,360.65,2026-02-10,374.5,138.6386,50000.0,1920.15,3.84,3,SMA10 Trail,Closed,Win,False,,,51.15,Liquid,Unknown,Stage 1 — Building Base,FLAG
SHREEJISPG.NS,SHREEJISPG.NS,2026-02-04,379.6,2026-02-25,402.99,131.7181,50000.0,3081.07,6.16,14,SMA10 Trail,Closed,Win,False,,,361.28,Liquid,Unknown,Stage 3 — Breakout,STANDARD
RUBICON.NS,RUBICON.NS,2026-02-05,779.0,2026-02-23,785.0,64.1849,50000.0,385.11,0.77,11,SMA10 Trail,Closed,Win,False,,,1550.92,Liquid,Unknown,Stage 3 — Breakout,STANDARD
TENNIND.NS,TENNIND.NS,2026-02-05,559.85,2026-02-17,551.9,89.3096,50000.0,-710.01,-1.42,7,SMA10 Trail,Closed,Loss,False,,,4985.17,Liquid,Unknown,Stage 1 — Building Base,STANDARD
TMCV.NS,TMCV.NS,2026-02-12,491.05,2026-02-20,476.3,101.8226,50000.0,-1501.88,-3.0,5,SMA10 Trail,Closed,Loss,False,,,1030.3,Liquid,Unknown,Stage 3 — Breakout,STANDARD
LENSKART.NS,LENSKART.NS,2026-02-13,530.95,2026-02-18,483.5,94.1708,50000.0,-4468.41,-8.94,2,Hard Stop,Closed,Loss,False,,,5304.1,Liquid,Unknown,Stage 3 — Breakout,EARLY BOOM
SHRINGARMS.NS,SHRINGARMS.NS,2026-02-13,239.5,2026-02-25,246.5,208.7683,50000.0,1461.38,2.92,7,SMA10 Trail,Closed,Win,False,,,430.45,Liquid,Unknown,Stage 3 — Breakout,EARLY BOOM
GCSL.NS,GCSL.NS,2026-02-18,350.0,2026-03-13,359.0,142.8571,50000.0,1285.71,2.57,15,SMA10 Trail,Closed,Win,False,,,14.22,Liquid,Unknown,Stage 1 — Building Base,STANDARD
KSHINTL.NS,KSHINTL.NS,2026-03-12,413.0,2026-05-05,642.7,121.0654,50000.0,27808.72,43.28,33,SMA10 Trail,Closed,Win,True,489.8,18.6,153.8,Liquid,Unknown,Stage 3 — Breakout,STANDARD
BORANA.NS,BORANA.NS,2026-03-12,398.9,2026-03-16,363.3,125.3447,50000.0,-4462.27,-8.92,1,SMA10 Trail,Closed,Loss,False,,,51.15,Liquid,Unknown,Stage 1 — Building Base,FLAG
ATLANTAELE.NS,ATLANTAELE.NS,2026-03-23,1170.0,2026-05-06,1580.0,42.735,50000.0,17521.37,28.48,26,SMA10 Trail,Closed,Win,True,1349.6,15.35,692.44,Liquid,Unknown,Stage 1 — Building Base,EARLY BOOM
LENSKART.NS,LENSKART.NS,2026-03-23,507.7,2026-04-01,511.0,98.4834,50000.0,324.99,0.65,4,SMA10 Trail,Closed,Win,False,,,5304.1,Liquid,Unknown,Stage 1 — Building Base,STANDARD
CPPLUS.NS,CPPLUS.NS,2026-03-27,1824.9,2026-05-18,2453.4,27.3988,50000.0,17220.12,30.99,32,SMA10 Trail,Closed,Win,True,2264.3,24.08,2130.94,Liquid,Unknown,Stage 1 — Building Base,EARLY BOOM
RUBICON.NS,RUBICON.NS,2026-03-27,773.6,2026-05-08,951.35,64.6329,50000.0,11488.5,20.72,25,SMA10 Trail,Closed,Win,True,898.9,16.2,1550.92,Liquid,Unknown,Stage 1 — Building Base,STANDARD
BUILDPRO.NS,BUILDPRO.NS,2026-04-07,1086.0,2026-04-27,1082.8,46.0405,50000.0,-147.33,-0.29,12,SMA10 Trail,Closed,Loss,False,,,24.16,Liquid,Unknown,Stage 3 — Breakout,STANDARD
PARKHOSPS.NS,PARKHOSPS.NS,2026-04-09,206.16,2026-05-04,234.0,242.5301,50000.0,6752.04,13.5,15,SMA10 Trail,Closed,Win,False,,,607.11,Liquid,Unknown,Stage 1 — Building Base,STANDARD
CANHLIFE.NS,CANHLIFE.NS,2026-04-09,145.55,2026-04-22,143.5,343.5246,50000.0,-704.23,-1.41,7,SMA10 Trail,Closed,Loss,False,,,703.76,Liquid,Unknown,Stage 1 — Building Base,EARLY BOOM
ICICIAMC.NS,ICICIAMC.NS,2026-04-10,3275.0,2026-04-27,3329.9,15.2672,50000.0,838.17,1.68,9,SMA10 Trail,Closed,Win,False,,,8082.89,Liquid,Unknown,Stage 3 — Breakout,STANDARD
