Symbol,PromoterBacked,Notes
DOMS,YES,Backed by listed parent Ferroni Group (Italy) with strong brand track record
HEXAWARE,YES,Backed by Carlyle Group PE — reputed global private equity
BAJAJHFL,YES,Bajaj Group subsidiary — established NBFC parentage
WAAREEENER,YES,Promoter-led solar manufacturer with long operating history
SWIGGY,YES,Backed by SoftBank and Prosus — institutional PE backing
HYUNDAI,YES,Subsidiary of Hyundai Motor Corporation South Korea
NTPCGREEN,YES,Government of India PSU under NTPC parent
SAGILITY,NO,Spun off from Hinduja Global Solutions — limited standalone track record
AFCONS,YES,Shapoorji Pallonji Group subsidiary — reputed conglomerate
MOBIKWIK,NO,Startup with no established listed parent or PE backer at IPO
PREMIERENE,YES,Promoter-led renewable energy company with institutional backing
KROSS,NO,Small-cap auto component — limited promoter disclosure
MANBA,NO,Small NBFC with limited promoter credibility data
GARUDA,NO,Construction company with limited listed parent history
STALLION,NO,Small specialty chemicals — limited promoter track record
SEPC,NO,Infrastructure EPC with weak balance sheet history
