Rank,Ticker,Company,Current_Price,Prev_Month_End_Price,Return_%,Benchmark_Return_%,RS_Score,Signal
1,ZEEL.NS,Zee Entertainment,104.41999816894531,93.11000061035156,12.14692029261608,-0.8140983963398964,12.961018688955978,🟢 Strong BUY
2,COALINDIA.NS,Coal India,481.6499938964844,457.8999938964844,5.186722060836949,-0.8140983963398964,6.000820457176846,🟢 Strong BUY
3,TITAN.NS,Titan Company,4231.0,4074.89990234375,3.8307713415602254,-0.8140983963398964,4.644869737900121,🟢 Strong BUY
4,INFY.NS,Infosys,1201.300048828125,1160.9000244140625,3.480060605085565,-0.8140983963398964,4.294159001425461,🟢 Strong BUY
5,JSWSTEEL.NS,JSW Steel,1301.0999755859375,1278.0,1.8075098267556728,-0.8140983963398964,2.6216082230955693,🟡 Mild BUY
6,SBIN.NS,State Bank of India,979.25,964.4000244140625,1.5398149326012154,-0.8140983963398964,2.353913328941112,🟡 Mild BUY
7,HDFCBANK.NS,HDFC Bank,754.2000122070312,744.5499877929688,1.2960881837722638,-0.8140983963398964,2.11018658011216,🟡 Mild BUY
8,TATASTEEL.NS,Tata Steel,210.57000732421875,208.02000427246094,1.2258451107509176,-0.8140983963398964,2.039943507090814,🟡 Mild BUY
9,ADANIENT.NS,Adani Enterprises,2972.800048828125,2937.39990234375,1.2051524362116728,-0.8140983963398964,2.0192508325515695,🟡 Mild BUY
10,APOLLOHOSP.NS,Apollo Hospitals,8249.0,8176.5,0.8866874579587843,-0.8140983963398964,1.700785854298681,🟡 Mild BUY
11,ONGC.NS,ONGC,267.54998779296875,265.3999938964844,0.8100956842233201,-0.8140983963398964,1.6241940805632167,🟡 Mild BUY
12,TECH.NS,Tech Mahindra,32.0099983215332,31.860000610351562,0.4708025998370672,-0.8140983963398964,1.2849009961769635,🟡 Mild BUY
13,WIPRO.NS,Wipro,204.32000732421875,204.25,0.03427531173500612,-0.8140983963398964,0.8483737080749025,🟠 Weak
14,CIPLA.NS,Cipla,1385.699951171875,1387.9786376953125,-0.16417302554606858,-0.8140983963398964,0.6499253707938278,🟠 Weak
15,ICICIBANK.NS,ICICI Bank,1251.699951171875,1256.4000244140625,-0.37409050866418414,-0.8140983963398964,0.4400078876757123,🟠 Weak
16,ASIANPAINT.NS,Asian Paints,2661.60009765625,2671.60009765625,-0.37430751738528656,-0.8140983963398964,0.4397908789546099,🟠 Weak
17,HEROMOTOCO.NS,Hero MotoCorp,4882.2998046875,4903.0,-0.4221944791454212,-0.8140983963398964,0.39190391719447526,🟠 Weak
18,MARUTI.NS,Maruti Suzuki,13064.0,13127.0,-0.47992686828673725,-0.8140983963398964,0.3341715280531592,🟠 Weak
19,BHARTIARTL.NS,Bharti Airtel,1818.9000244140625,1829.0,-0.5522129899364406,-0.8140983963398964,0.2618854064034558,🟠 Weak
20,GRASIM.NS,Grasim Industries,3103.5,3122.39990234375,-0.6053005039349145,-0.8140983963398964,0.20879789240498192,🟠 Weak
