Ticker,Days Ago,Bk Date,Bk Price (₹),Close (₹),% Off Bk,220 EMA (₹),Vol Ratio,Stop (₹)
ACUTAAS,0,2026-06-03,3135.7,3135.7,0.0,1986.52,0.69,2665.34
APARINDS,0,2026-06-03,13538.0,13538.0,0.0,9845.93,1.88,11507.3
ANTELOPUS,0,2026-06-03,871.8,871.8,0.0,595.97,1.08,741.03
AMBIKCO,0,2026-06-03,1711.0,1711.0,0.0,1411.57,0.71,1454.35
BLSE,0,2026-06-03,225.02,225.02,0.0,185.02,0.67,191.27
BALAMINES,0,2026-06-03,2122.2,2122.2,0.0,1363.58,7.91,1803.87
BBOX,0,2026-06-03,1056.3,1056.3,0.0,586.75,0.8,897.86
ATHERENERG,0,2026-06-03,1022.05,1022.05,0.0,690.4,2.62,868.74
CARYSIL,0,2026-06-03,1138.0,1138.0,0.0,886.26,1.33,967.3
BLISSGVS,0,2026-06-03,439.65,439.65,0.0,211.78,0.97,373.7
FEDERALBNK,0,2026-06-03,301.05,301.05,0.0,256.82,1.22,255.89
FCL,0,2026-06-03,43.54,43.54,0.0,26.04,1.39,37.01
DEEDEV,0,2026-05-29,593.4,593.4,0.0,309.79,0.28,504.39
CONSOFINVT,0,2026-06-03,243.0,243.0,0.0,204.77,5.25,206.55
CONFIPET,0,2026-06-03,76.79,76.79,0.0,48.17,2.46,65.27
CHENNPETRO,0,2026-06-03,1189.8,1189.8,0.0,897.07,1.59,1011.33
GRANULES,0,2026-06-03,793.8,793.8,0.0,606.56,0.54,674.73
GTECJAINX,0,2026-06-03,28.82,28.82,0.0,23.5,15.73,24.5
HFCL,0,2026-06-03,199.41,199.41,0.0,93.15,1.11,169.5
GVPIL,0,2026-06-03,870.25,870.25,0.0,443.86,2.09,739.71
IDEA,0,2026-06-03,14.85,14.85,0.0,10.25,2.08,12.62
IFCI,0,2026-06-03,80.42,80.42,0.0,57.32,10.82,68.36
HITECHCORP,0,2026-05-29,242.18,242.18,0.0,167.23,0.89,205.85
GOCLCORP,0,2026-06-03,418.1,418.1,0.0,311.95,0.79,355.39
DREDGECORP,0,2026-06-03,1232.5,1232.5,0.0,894.33,1.27,1047.62
ELGIEQUIP,0,2026-06-03,601.2,601.2,0.0,513.75,2.06,511.02
KERNEX,0,2026-06-03,1877.9,1877.9,0.0,1183.15,1.65,1596.22
JSWSTEEL,0,2026-06-03,1312.9,1312.9,0.0,1169.03,0.4,1115.97
JAGRAN,0,2026-06-03,77.44,77.44,0.0,68.71,5.8,65.82
JAYBARMARU,0,2026-06-03,127.71,127.71,0.0,92.29,4.05,108.55
J&KBANK,0,2026-06-03,148.65,148.65,0.0,114.7,2.68,126.35
INDOBORAX,0,2026-06-03,346.1,346.1,0.0,252.01,0.32,294.19
NEOGEN,0,2026-06-03,1901.2,1901.2,0.0,1472.79,1.16,1616.02
NMDC,0,2026-06-03,96.04,96.04,0.0,79.0,1.78,81.63
PAISALO,0,2026-06-03,53.92,53.92,0.0,39.63,1.23,45.83
SATIN,0,2026-06-03,235.25,235.25,0.0,166.49,0.56,199.96
SANDHAR,0,2026-06-03,718.25,718.25,0.0,516.99,2.05,610.51
LAURUSLABS,0,2026-06-03,1394.3,1394.3,0.0,1008.9,0.71,1185.16
MAHESHWARI,0,2026-06-03,63.56,63.56,0.0,51.63,4.39,54.03
MODISONLTD,0,2026-05-29,284.6,284.6,0.0,151.94,7.31,241.91
KOPRAN,0,2026-05-29,206.27,206.27,0.0,156.55,4.3,175.33
JINDALSAW,0,2026-06-03,250.87,250.87,0.0,206.03,1.39,213.24
RUBYMILLS,0,2026-06-03,284.0,284.0,0.0,222.44,2.61,241.4
RAIN,0,2026-06-03,200.47,200.47,0.0,140.1,1.78,170.4
RRKABEL,0,2026-06-03,2155.9,2155.9,0.0,1493.34,2.45,1832.51
SKMEGGPROD,0,2026-06-03,243.51,243.51,0.0,171.55,3.22,206.98
SICAGEN,0,2026-06-03,57.48,57.48,0.0,27.23,0.51,48.86
SIGMAADV,0,2026-06-03,436.9,436.9,0.0,196.36,2.03,371.36
SOTL,0,2026-06-03,514.6,514.6,0.0,387.39,22.82,437.41
UNIPARTS,0,2026-06-03,625.65,625.65,0.0,467.56,1.84,531.8
VENUSREM,0,2026-06-03,1481.8,1481.8,0.0,753.1,0.79,1259.53
WELCORP,0,2026-06-03,1413.6,1413.6,0.0,948.72,1.96,1201.56
UNIDT,0,2026-06-03,250.22,250.22,0.0,203.11,2.29,212.69
THANGAMAYL,0,2026-06-03,4795.0,4795.0,0.0,3227.14,1.57,4075.75
STYLAMIND,0,2026-06-03,2989.8,2989.8,0.0,2176.96,0.58,2541.33
STLTECH,0,2026-05-13,405.15,405.15,0.0,162.17,0.77,344.38
SIS,0,2026-06-03,419.4,419.4,0.0,339.62,2.75,356.49
SYRMA,0,2026-06-03,1195.3,1195.3,0.0,815.75,1.26,1016.01
SONAMLTD,0,2026-06-03,59.07,59.07,0.0,48.78,3.78,50.21
SKYGOLD,0,2026-06-03,563.25,563.25,0.0,367.84,1.29,478.76
CORDSCABLE,1,2026-05-27,243.58,239.9,-1.51,180.3,3.73,203.91
NGIL,1,2026-05-27,42.26,42.14,-0.28,31.47,0.66,35.82
SANSERA,1,2026-06-02,2953.3,2914.8,-1.3,1967.66,1.03,2477.58
NETWEB,1,2026-06-02,4782.8,4705.3,-1.62,3280.21,1.62,3999.5
KANORICHEM,1,2026-05-27,100.8,98.6,-2.18,81.71,0.84,83.81
SASKEN,1,2026-06-02,2338.5,2207.0,-5.62,1431.54,0.5,1875.95
ROSSTECH,1,2026-06-02,1080.5,1073.8,-0.62,727.04,0.71,912.73
ICIL,1,2026-06-02,346.25,344.65,-0.46,281.34,1.71,292.95
MINDACORP,1,2026-06-02,629.85,626.4,-0.55,544.17,1.25,532.44
NSLNISP,1,2026-06-02,52.55,52.45,-0.19,41.82,2.01,44.58
OFSS,1,2026-06-02,10344.5,9997.5,-3.35,8081.18,0.72,8497.88
NDLVENTURE,1,2026-06-02,133.54,130.32,-2.41,102.96,0.26,110.77
ONELIFECAP,1,2026-05-27,29.04,27.59,-4.99,15.94,0.34,23.45
PTCIL,1,2026-06-02,19380.0,18919.0,-2.38,16346.77,2.35,16081.15
SHILPAMED,1,2026-06-02,517.35,515.4,-0.38,381.19,1.61,438.09
SEAMECLTD,1,2026-06-02,1643.3,1617.3,-1.58,1234.74,1.68,1374.71
VISHNU,1,2026-06-02,626.7,615.3,-1.82,523.26,0.98,523.0
UNIVCABLES,1,2026-06-02,1239.2,1189.9,-3.98,799.19,2.54,1011.42
STARHEALTH,1,2026-06-02,533.7,530.05,-0.68,476.21,0.61,450.54
SKIPPER,1,2026-06-02,572.4,570.5,-0.33,441.32,1.86,484.93
SPORTKING,1,2026-06-02,190.64,182.43,-4.31,118.59,0.63,155.07
DBSTOCKBRO,1,2026-06-02,34.09,33.14,-2.79,27.83,0.86,28.17
E2E,1,2026-06-02,4324.4,4108.2,-5.0,2703.68,4.21,3491.97
CENTUM,1,2026-06-02,3600.0,3589.9,-0.28,2572.89,0.66,3051.41
AIAENG,1,2026-06-02,4552.3,4521.3,-0.68,3734.01,0.63,3843.1
ACMESOLAR,1,2026-06-02,334.75,329.05,-1.7,260.62,1.49,279.69
ADVENZYMES,1,2026-06-02,392.1,380.25,-3.02,319.51,0.48,323.21
ARVIND,1,2026-06-02,500.65,485.05,-3.12,365.48,0.79,412.29
APOLLO,1,2026-06-02,437.0,407.55,-6.74,253.34,1.99,346.42
IDEAFORGE,2,2026-05-26,855.4,845.0,-1.22,525.89,0.19,718.25
PASUPTAC,2,2026-06-01,69.27,67.29,-2.86,50.0,1.4,57.2
RATEGAIN,2,2026-06-01,777.15,765.25,-1.53,601.4,0.32,650.46
RPTECH,2,2026-06-01,555.55,542.25,-2.39,387.97,0.5,460.91
MANCREDIT,2,2026-06-01,212.54,201.36,-5.26,172.37,1.49,171.16
SAKAR,2,2026-06-01,835.7,812.85,-2.73,484.06,0.74,690.92
INDSWFTLAB,2,2026-06-01,164.19,157.11,-4.31,120.91,0.65,133.54
THERMAX,2,2026-06-01,4992.8,4784.5,-4.17,3566.59,0.94,4066.82
SHAILY,2,2026-06-01,3144.8,3070.7,-2.36,2181.93,0.45,2610.09
CEMPRO,2,2026-06-01,1073.8,1024.9,-4.55,723.99,0.27,871.17
ZYDUSLIFE,2,2026-06-01,1091.2,1076.6,-1.34,943.89,0.98,915.11
WOCKPHARMA,2,2026-06-01,2152.9,2073.9,-3.67,1426.79,3.05,1762.81
STEELXIND,3,2026-05-29,12.8,12.33,-3.67,9.36,1.38,10.48
