Ticker,Company,Signal,Close,ATH (₹),Dist ATH%,Entry Type,Chart Qual,Choppiness,Recovery,220 EMA,52W High,vs High%,Vol Ratio,Score
ZYDUSWELL,ZYDUSWELL,Watch Zone,509.15,524.26,-2.88,52W High,Clean ✅,59.7,Fast 🟢,446.97,524.26,-2.88,0.34,52.5
SAMMAANCAP,SAMMAANCAP,Watch Zone,180.05,1041.45,-82.71,52W High,Clean ✅,25.1,Fast 🟢,148.93,189.93,-5.2,0.49,48.5
MANORAMA,MANORAMA,Watch Zone,1488.8,1686.28,-11.71,52W High,Clean ✅,50.8,Fast 🟢,1347.04,1686.28,-11.71,0.45,45.6
FORTIS,Fortis Healthcare,Watch Zone,992.1,1097.9,-9.64,52W High,Clean ✅,47.2,Fast 🟢,882.21,1097.9,-9.64,0.74,44.6
PASHUPATI,PASHUPATI,Watch Zone,93.46,101.45,-7.88,52W High,Clean ✅,57.2,Fast 🟢,82.85,101.45,-7.88,0.1,44.5
RICOAUTO,RICOAUTO,Watch Zone,134.2,151.06,-11.16,52W High,Clean ✅,45.7,Fast 🟢,109.32,138.05,-2.79,0.79,44.5
NUVAMA,NUVAMA,Watch Zone,1553.0,1626.41,-4.51,52W High,Clean ✅,49.6,Fast 🟢,1351.93,1626.41,-4.51,0.32,41.6
FEDFINA,FEDFINA,Watch Zone,156.29,176.39,-11.4,52W High,Clean ✅,60.1,Fast 🟢,140.27,176.39,-11.4,0.24,35.9
NYKAA,FSN E-Commerce (Nykaa),Watch Zone,267.8,415.52,-35.55,52W High,Clean ✅,48.3,Fast 🟢,247.32,280.69,-4.59,0.61,35.6
GABRIEL,GABRIEL,Watch Zone,1039.7,1314.83,-20.92,52W High,Clean ✅,38.6,Fast 🟢,968.6,1314.83,-20.92,1.24,34.3
PGIL,PGIL,Watch Zone,1698.4,1907.16,-10.95,52W High,Clean ✅,56.5,Fast 🟢,1485.27,1907.16,-10.95,0.72,32.3
SANDUMA,SANDUMA,Watch Zone,218.2,264.71,-17.57,52W High,Clean ✅,48.1,Fast 🟢,200.84,264.71,-17.57,0.2,29.4
