Ticker,Company,Segment
RELIANCE.NS,Reliance Industries,Nifty50
HDFCBANK.NS,HDFC Bank,Nifty50
ICICIBANK.NS,ICICI Bank,Nifty50
INFY.NS,Infosys,Nifty50
TCS.NS,Tata Consultancy Services,Nifty50
BHARTIARTL.NS,Bharti Airtel,Nifty50
SBIN.NS,State Bank of India,Nifty50
HINDUNILVR.NS,Hindustan Unilever,Nifty50
ITC.NS,ITC,Nifty50
LT.NS,Larsen & Toubro,Nifty50
KOTAKBANK.NS,Kotak Mahindra Bank,Nifty50
AXISBANK.NS,Axis Bank,Nifty50
BAJFINANCE.NS,Bajaj Finance,Nifty50
MARUTI.NS,Maruti Suzuki,Nifty50
SUNPHARMA.NS,Sun Pharmaceutical,Nifty50
TITAN.NS,Titan Company,Nifty50
ASIANPAINT.NS,Asian Paints,Nifty50
WIPRO.NS,Wipro,Nifty50
HCLTECH.NS,HCL Technologies,Nifty50
TORNTPHARM.NS,Torrent Pharmaceuticals,Nifty50
TRENT.NS,Trent,Nifty50
BAJAJFINSV.NS,Bajaj Finserv,Nifty50
NTPC.NS,NTPC,Nifty50
POWERGRID.NS,Power Grid Corporation,Nifty50
ONGC.NS,Oil & Natural Gas Corporation,Nifty50
COALINDIA.NS,Coal India,Nifty50
DRREDDY.NS,Dr Reddy's Laboratories,Nifty50
CIPLA.NS,Cipla,Nifty50
DIVISLAB.NS,Divi's Laboratories,Nifty50
BPCL.NS,Bharat Petroleum,Nifty50
TATASTEEL.NS,Tata Steel,Nifty50
JSWSTEEL.NS,JSW Steel,Nifty50
GRASIM.NS,Grasim Industries,Nifty50
EICHERMOT.NS,Eicher Motors,Nifty50
HEROMOTOCO.NS,Hero MotoCorp,Nifty50
BRITANNIA.NS,Britannia Industries,Nifty50
M&M.NS,Mahindra & Mahindra,Nifty50
NESTLEIND.NS,Nestle India,Nifty50
ADANIENT.NS,Adani Enterprises,Nifty50
ADANIPORTS.NS,Adani Ports & SEZ,Nifty50
ULTRACEMCO.NS,UltraTech Cement,Nifty50
HDFCLIFE.NS,HDFC Life Insurance,Nifty50
SBILIFE.NS,SBI Life Insurance,Nifty50
TATACONSUM.NS,Tata Consumer Products,Nifty50
HAL.NS,Hindustan Aeronautics,Nifty50
APOLLOHOSP.NS,Apollo Hospitals,Nifty50
INDUSINDBK.NS,IndusInd Bank,Nifty50
BAJAJ-AUTO.NS,Bajaj Auto,Nifty50
HINDALCO.NS,Hindalco Industries,Nifty50
ETERNAL.NS,Zomato (Eternal),Nifty50
TECHM.NS,Tech Mahindra,NiftyNext50
SHREECEM.NS,Shree Cement,NiftyNext50
ABB.NS,ABB India,NiftyNext50
BANKBARODA.NS,Bank of Baroda,NiftyNext50
BEL.NS,Bharat Electronics,NiftyNext50
BHEL.NS,Bharat Heavy Electricals,NiftyNext50
BOSCHLTD.NS,Bosch,NiftyNext50
CANBK.NS,Canara Bank,NiftyNext50
CHOLAFIN.NS,Cholamandalam Investment,NiftyNext50
COLPAL.NS,Colgate-Palmolive India,NiftyNext50
DABUR.NS,Dabur India,NiftyNext50
DLF.NS,DLF,NiftyNext50
GODREJCP.NS,Godrej Consumer Products,NiftyNext50
HAVELLS.NS,Havells India,NiftyNext50
HINDZINC.NS,Hindustan Zinc,NiftyNext50
INDUSTOWER.NS,Indus Towers,NiftyNext50
