Ticker,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Exit_Reason,Shares,PnL_Pct,Holding_Days,Result,Entry_Type,Recovery_Speed,Recovery_Days,Score
CUBEXTUB.NS,2017-06-14,20.6,2017-06-27,16.8,15% Hard Stop,4854,-18.45,13,Loss,ATH,Fast,2,83.18
WALCHANNAG.NS,2017-05-23,184.9,2017-06-28,156.3,15% Hard Stop,540,-15.47,36,Loss,ATH,Fast,6,84.8
LICHSGFIN.NS,2017-06-01,628.85,2017-09-25,550.18,220 EMA Break,159,-12.51,116,Loss,ATH,Fast,1,86.14
ZYDUSLIFE.NS,2017-06-05,454.7,2017-09-28,423.42,220 EMA Break,219,-6.88,115,Loss,ATH,Fast,2,65.86
APOLLOTYRE.NS,2017-06-07,228.83,2017-11-09,205.91,220 EMA Break,437,-10.02,155,Loss,ATH,Fast,1,88.85
SHYAMCENT.NS,2017-11-10,17.95,2017-11-14,15.23,15% Hard Stop,5015,-15.11,4,Loss,ATH,Fast,1,95.64
TNPL.NS,2017-07-28,301.44,2017-11-16,263.93,220 EMA Break,227,-12.44,111,Loss,ATH,Fast,2,81.95
CEATLTD.NS,2017-06-05,1696.44,2018-02-05,1455.52,220 EMA Break,58,-14.2,245,Loss,ATH,Fast,1,96.36
TATAPOWER.NS,2017-11-20,79.79,2018-02-05,74.77,220 EMA Break,1253,-6.29,77,Loss,ATH,Fast,1,94.74
AJMERA.NS,2017-11-21,59.62,2018-02-09,49.12,15% Hard Stop,609,-17.61,80,Loss,ATH,Fast,3,100.0
BAJAJ-AUTO.NS,2017-10-04,2528.54,2018-02-20,2431.93,220 EMA Break,39,-3.82,139,Loss,ATH,Fast,1,92.34
FILATEX.NS,2017-07-14,15.12,2018-03-06,16.95,220 EMA Break,6612,12.09,235,Win,ATH,Fast,2,100.0
SKMEGGPROD.NS,2018-04-24,59.16,2018-05-04,48.35,15% Hard Stop,256,-18.27,10,Loss,ATH,Fast,1,100.0
IRB.NS,2018-04-12,12.92,2018-05-21,10.41,15% Hard Stop,7739,-19.43,39,Loss,ATH,Fast,2,92.92
PARAGMILK.NS,2018-05-17,343.74,2018-06-05,290.57,15% Hard Stop,36,-15.47,19,Loss,ATH,Fast,1,88.71
KOLTEPATIL.NS,2017-10-05,197.96,2018-06-12,272.41,220 EMA Break,413,37.61,250,Win,ATH,Fast,1,79.3
